Var1,x,z,h,expH_bayes1,expH_bayes2,e1,e2,q1exp1,q1exp2
1,0,1,0.01,0.500000000000001,0.5,4.6051701859881,1.84065755322349,0.800000000000001,0.8
2,0,1,0.01,0.441211878787879,0.499836010785008,4.5837274586163,1.84059851362635,0.8,0.8
3,0,1,0.01,0.395209323797388,0.499673767389452,4.53628473421907,1.84074761379172,0.85560751460802,0.800173116400371
4,0,1,0.01,0.336249610506234,0.499512868378154,4.43421060032472,1.84089577445202,0.866080654751212,0.800234711746977
5,0,1,0.01,0.289852354779774,0.499353481418519,4.31464787904243,1.84104547901341,0.892216140560397,0.800296066370659
6,0,1,0.01,0.244949149430625,0.499195589947375,4.16409322662997,1.84119733582435,0.905359711185429,0.800356734977329
7,0,1,0.01,0.210036905966503,0.49903917870365,4.0150046552741,1.84135238091918,0.92099803917348,0.800416846610803
8,0,1,0.01,0.180217937646363,0.498884231910253,3.8625018476141,1.84151160164071,0.931348580250842,0.800476406051111
9,0,1,0.01,0.157178480720809,0.498730733634037,3.7224628656509,1.84167594559922,0.940884916594975,0.800535419447618
10,1,1,0.01,0.210332318615904,0.498908552553614,4.01710668850249,1.84143535394209,0.531885023034953,0.200595218387406
11,0,1,0.01,0.201552645125969,0.499083065215177,3.95346164576991,1.84160706289095,0.858908719519493,0.799697450518746
12,0,1,0.01,0.166063988476899,0.498928306635561,3.76438258160757,1.84134898562921,0.912613310794653,0.800237495657767
13,0,1,0.01,0.145958610955005,0.498774794647495,3.62591471035905,1.8415127566969,0.942853099170935,0.800517973650652
14,1,1,0.01,0.203883394930966,0.498952094209863,3.96750249355592,1.84127235617938,0.547162444461455,0.200578088862623
15,0,1,0.01,0.196302633645269,0.4991261321634,3.88311766183439,1.84144346511206,0.868334985350005,0.79971390901442
16,1,1,0.01,0.276282530006612,0.499298904096992,4.21690700395917,1.84160111308843,0.404774904221604,0.200221385708436
17,0,1,0.01,0.292617633980239,0.499470045818735,4.19632621369154,1.84175192350614,0.841474120512234,0.799844529012187
18,0,1,0.01,0.218190619676722,0.499311170374585,3.95721711946805,1.84147968355395,0.870282936974128,0.800090389181505
19,0,1,0.01,0.18870319025136,0.499153908240507,3.79005548930308,1.8416289616832,0.932963148644977,0.800372621068337
20,0,1,0.01,0.147323220467434,0.498997760069543,3.56808308233713,1.84178037066162,0.938554960871941,0.800432560559409
21,0,1,0.01,0.126130055585236,0.498843075458196,3.40763145605162,1.84193717671961,0.954874888113309,0.800492265298597
22,0,1,0.01,0.106120770952406,0.498689836772084,3.24759868280538,1.84209939178405,0.959405656807777,0.800551180749079
23,1,1,0.01,0.152835572840999,0.498868226105675,3.62232493334296,1.84185657015673,0.638195355935311,0.200610954497536
24,1,1,0.01,0.180002710009456,0.498716016120147,3.84495675644463,1.84160143679597,0.34411688936398,0.199682646013816
25,0,1,0.01,0.18335971211613,0.498893600641954,3.82380331305763,1.84136486760216,0.753384108939214,0.799400237810986
26,0,1,0.01,0.156324317221064,0.498741279802356,3.65121004248485,1.84111468668862,0.885309906988283,0.800308123524614
27,0,1,0.01,0.134728570234699,0.498589657364886,3.48931451315038,1.84128813746962,0.937328160362596,0.800588714190345
28,1,1,0.01,0.194451279565117,0.498768836760351,3.88138223587156,1.84106140221746,0.560177694946539,0.200648853373159
29,1,1,0.01,0.215316028271823,0.498617928435594,4.03722376636502,1.84081895243523,0.30365267626174,0.199644910524861
30,0,1,0.01,0.223258359530878,0.498796293071473,4.04316351655576,1.84059721175662,0.736858897807794,0.799362972677919
31,0,1,0.01,0.195309465868037,0.498645243340816,3.89309178750285,1.84035917180805,0.868968532626862,0.800345067950345
32,0,1,0.01,0.167773976793183,0.498494796206184,3.72698402280998,1.84054448161117,0.92339322874611,0.800625032598308
33,0,1,0.01,0.141939026826407,0.498345385304526,3.55018949135618,1.8407376136087,0.942326862193903,0.800683238345961
34,0,1,0.01,0.121923987099633,0.498197356010847,3.38939832317997,1.84093965638143,0.953303559237018,0.800740429756565
35,0,1,0.01,0.10597644482838,0.49805069225959,3.24251966652449,1.84115046878636,0.959984520410534,0.800796864366416
36,0,1,0.01,0.0936548672387778,0.497905378262736,3.11275310042643,1.84137078321505,0.965044310479586,0.800852789355126
37,0,1,0.01,0.0839421760698176,0.497761397501311,2.99763325225178,1.84160129192911,0.96884019050093,0.800908210849738
38,0,1,0.01,0.0762701062020376,0.497618733394716,2.89595989959053,1.84184265536043,0.971850468742939,0.80096313548403
39,0,1,0.01,0.0701074932677204,0.49747736930733,2.80561065082121,1.84209550046006,0.974237942229626,0.801017569477576
40,1,1,0.01,0.101828164351776,0.497668569583909,3.16355903242432,1.8419566368427,0.719170035695798,0.201075842016932
41,0,1,0.01,0.0918044415668074,0.497855297223938,2.98999985934336,1.84222159375822,0.915334971441638,0.799228144552292
42,0,1,0.01,0.0761994730002129,0.497713242564095,2.82059318883287,1.84203524906421,0.956880034366627,0.800701706928638
